Group ID,Group Name,Sender ID,Sender Nickname,Message,Timestamp
R:10954392443485625,Private Chat,7881303351921861,粹一·X,@小林 你好,2024-04-27 18:38:00
R:10954392443485625,群聊,2,未知用户,"Failed to get a response from Dify API, please try again later.",2024-04-27 18:38:01
